"gender","age","major","attendance_pct","study_hours_per_day","previous_gpa","sleep_hours","social_hours_week","final_cgpa"
"Female",24,"Business",100,2.9,2.6,5.3,11,2.62
"Female",20,"Computer Science",93,2.2,3.47,8.3,7,3.66
"Female",18,"Psychology",89.6,4.9,2.01,6,7,2.4
"Male",21,"Engineering",69.1,14,2.89,8,7,3.56
"Male",24,"Mathematics",94.4,5.6,3.55,6.1,9,4
"Male",21,"Economics",83.3,2.6,2.88,7.5,5,3.07
"Male",19,"Engineering",88.2,4.9,2.74,6.2,8,3.14
"Male",22,"Engineering",70.4,2.7,2.89,5.5,9,2.88
"Male",19,"Business",87.4,4.7,2.1,7.2,2,2.39
"Female",19,"Mathematics",78.6,9.1,3.46,5.2,8,3.61
"Male",22,"Economics",73.5,4.1,3.04,7.7,4,2.92
"Male",23,"Computer Science",96,5.1,2.96,6.6,16,2.92
"Male",18,"Computer Science",61.9,4.2,2.97,5,6,2.97
"Male",21,"Engineering",93.5,7,3.11,7.4,13,3.61
"Female",19,"Engineering",95.3,6.1,3.43,7.4,7,3.75
"Male",22,"Psychology",71.8,3.4,3.07,4,6,2.79
"Female",20,"Mathematics",72.7,6.1,2.42,6.9,6,2.44
"Female",19,"Economics",81.7,4.7,3.39,7,2,3.87
"Male",21,"Engineering",89.2,3.2,3.35,7.1,9,3.5
"Male",18,"Psychology",82.7,3.3,3.2,4.3,5,3.38
"Female",19,"Mathematics",91.5,4.6,3.64,7.5,4,3.92
"Female",19,"Economics",100,5.1,3.12,7.8,6,3.54
"Female",23,"Computer Science",77.4,3.8,3.66,5.6,9,3.6
"Female",22,"Psychology",59.3,5.1,3.8,4.9,4,3.7
"Male",20,"Mathematics",97.4,2.6,3.39,5.5,5,3.68
"Male",20,"Psychology",100,2.1,2.73,7.2,7,3.16
"Male",24,"Engineering",90.9,1.5,3.03,5.1,6,3.19
"Female",18,"Business",68.7,5.6,3.72,5,6,3.85
"Female",24,"Computer Science",83.1,1.5,2.35,10,17,2.33
"Male",21,"Engineering",68.2,5.1,2.9,7,6,2.82
"Male",18,"Engineering",94.6,3.1,2.93,6.5,13,3.4
"Male",19,"Mathematics",64.7,3.5,2.67,6,6,2.58
"Male",19,"Psychology",80.5,3.5,3.54,6.4,8,3.95
"Female",20,"Computer Science",69.9,13.7,3.29,9.7,10,3.83
"Female",21,"Engineering",86.9,2.9,2.74,8.2,6,2.78
"Female",22,"Mathematics",79.5,2.3,3.4,10,12,3.45
"Male",21,"Computer Science",87.7,10.7,3.02,7.6,9,3.88
"Male",19,"Psychology",85.3,1.7,2.65,5.6,8,2.85
"Female",22,"Engineering",70.2,1.9,2.74,7.4,1,2.55
"Female",21,"Economics",94.4,6.7,3.32,7.8,6,3.83
"Female",21,"Engineering",84.3,5.2,3.57,7.9,2,3.92
"Female",22,"Engineering",70.2,3.3,2.86,6.3,12,3.05
"Male",19,"Computer Science",100,2.2,3.37,9.7,10,3.49
"Male",21,"Computer Science",92.1,1,3.89,5.1,8,4
"Male",22,"Computer Science",82.7,9.4,2.47,7.5,10,3.14
"Male",23,"Computer Science",100,6.1,3.28,6.6,5,3.64
"Male",23,"Mathematics",100,8.9,3.52,5.8,9,4
"Male",19,"Business",82.8,7.4,3.05,7.4,10,3.53
"Female",22,"Mathematics",90.2,5.4,3.72,8.9,8,3.99
"Male",23,"Engineering",70.2,2.9,4,7.6,16,3.84
"Male",22,"Mathematics",82.8,2.2,3.27,7.4,6,3.39
"Female",21,"Psychology",82,7.8,2.98,4,9,3.38
"Male",19,"Economics",87.8,3.1,3.59,8.4,8,3.6
"Male",23,"Computer Science",90,2.2,3.52,6.4,11,3.68
"Female",24,"Psychology",93.4,2.7,1.84,7.8,7,2.17
"Male",21,"Economics",88.6,8.1,3.1,8.4,11,3.39
"Male",24,"Psychology",66.8,2.4,2.9,7.3,15,2.78
"Male",24,"Engineering",70.9,3.3,3.3,4,11,3.37
"Male",18,"Computer Science",76.8,3.9,3,9.1,5,3.02
"Female",18,"Psychology",80.8,4.7,3.06,9.7,8,3.17
"Female",19,"Engineering",100,2.3,2.67,8.2,9,3.03
"Female",23,"Computer Science",67.6,3.8,3.47,5.9,6,3.59
"Female",23,"Business",79.6,6.8,3.93,8.8,8,3.88
"Female",23,"Engineering",99.3,11.9,2.68,6.6,12,3.59
"Male",22,"Mathematics",80.5,2,2.4,6.9,5,2.67
"Female",21,"Computer Science",91.9,2.2,3.11,8.8,5,3.44
"Male",23,"Psychology",82.9,2.4,3.09,8,6,3.55
"Female",21,"Economics",88.9,5.9,3.69,4,9,4
"Female",19,"Psychology",81.6,2.1,2.49,7.3,8,2.66
"Male",24,"Mathematics",95,3.7,2.83,8.8,8,3.23
"Male",23,"Mathematics",61.8,3.5,2.03,5,6,1.98
"Male",19,"Psychology",79.6,12.5,3.79,8.5,11,4
"Male",23,"Economics",89.4,2.9,3.23,4.5,4,3.41
"Female",18,"Computer Science",93,2.8,2.87,6.7,8,3.12
"Female",20,"Engineering",100,5.9,2.44,7.8,6,3.06
"Male",19,"Mathematics",79.1,4.9,2.48,6.6,6,2.7
"Male",23,"Mathematics",100,2.7,3.31,8.8,11,3.31
"Male",20,"Mathematics",75.1,8.4,2.55,4.9,3,2.52
"Male",19,"Economics",100,1.6,3.15,8.2,10,3.11
"Male",22,"Business",97.3,4,4,7.1,9,4
"Male",23,"Economics",71.3,3.4,2.93,5.7,4,2.98
"Female",22,"Computer Science",89.6,3.8,2.62,7.7,13,2.97
"Male",18,"Computer Science",84.2,2.7,3.29,6.9,7,3.59
"Male",23,"Computer Science",94.4,3.8,2.49,9.2,11,2.63
"Female",24,"Computer Science",81.7,4.6,3.96,7.9,6,4
"Male",18,"Computer Science",80.4,0.7,3.8,7.6,9,3.89
"Female",20,"Psychology",100,3.1,3.02,6,5,3.23
"Female",19,"Mathematics",83.5,2.5,2.65,7.2,6,2.88
"Male",21,"Economics",97.4,10.3,2.89,6.1,7,3.37
"Male",18,"Psychology",81.6,5.3,2.95,6.9,5,3.55
"Male",21,"Economics",100,2.4,3.29,8.9,11,3.63
"Male",21,"Business",74.8,3,3.62,6.6,6,3.74
"Male",19,"Engineering",75.8,3.4,2.58,4.8,9,2.53
"Female",20,"Mathematics",100,2.9,3.61,7.7,10,4
"Male",19,"Business",78.3,5.5,3.41,8.2,9,3.62
"Male",23,"Psychology",100,9.3,2.85,9.4,11,3.28
"Male",18,"Engineering",98.4,0.4,2.56,8.3,10,2.58
"Female",21,"Business",82.7,3.3,3.16,6.6,8,3.57
"Male",19,"Economics",57.8,11.9,2.57,7.4,15,2.77
"Male",19,"Engineering",84.7,3.4,3.61,7.6,3,4
"Male",19,"Economics",86.5,4.7,2.54,7.7,8,2.86
"Female",18,"Business",100,0.8,3.37,4,7,3.38
"Male",20,"Psychology",100,8.3,3.06,6.1,6,3.66
"Female",24,"Economics",74.7,2,2.82,7.7,4,2.63
"Female",19,"Engineering",97,5.2,3.05,8.6,8,3.18
"Male",18,"Business",96.5,2.2,3.64,6,9,3.8
"Female",21,"Economics",100,0.5,2.5,6.4,3,2.54
"Male",23,"Psychology",92.5,4.9,2.89,6.6,7,3.09
"Female",24,"Mathematics",55.9,6.2,2.72,6.8,7,2.69
"Female",22,"Psychology",82.7,3.9,3.08,8.3,9,3.34
"Male",24,"Psychology",67.7,1.8,2.76,5.9,10,2.67
"Male",24,"Mathematics",82,13.2,2.22,8.3,8,2.8
"Female",18,"Psychology",99.7,6,2.57,9.1,9,2.82
"Male",22,"Mathematics",89.6,4.5,3.92,6.4,5,4
"Male",19,"Mathematics",100,7.6,3.22,6.4,4,3.95
"Male",19,"Economics",90.1,2.9,3.21,7.2,11,3.35
"Female",24,"Economics",65.5,10.9,2.96,6.1,6,3.19
"Female",18,"Mathematics",47.2,6.1,3.07,6.9,7,2.97
"Male",22,"Business",87.2,7.2,2.89,4.8,5,3.23
"Male",19,"Engineering",81.8,3.3,3.36,8.3,6,3.73
"Male",21,"Business",70.3,2,3.15,9.5,10,3.13
"Female",20,"Mathematics",59.5,4.5,2.51,6,2,2.43
"Male",20,"Engineering",74,3,3.23,4.5,7,3.22
"Female",19,"Economics",82.1,11.6,1.87,8.4,14,2.35
"Male",22,"Engineering",95,1.6,3.31,6.4,3,3.37
"Female",23,"Mathematics",87.8,8.7,2.4,6,11,2.81
"Male",19,"Economics",100,1.2,3.05,6.8,5,3.38
"Male",23,"Engineering",69.5,2.2,2.5,5.2,8,2.42
"Male",23,"Engineering",98.2,1.2,3.1,7.7,5,3.5
"Female",22,"Business",85.7,2.9,3.39,5.1,10,3.64
"Female",23,"Engineering",95.4,3.6,3.85,5.2,10,3.98
"Male",21,"Mathematics",78.5,2.7,2.33,5.2,12,2.05
"Female",22,"Computer Science",100,5.2,3.59,7.2,6,3.95
"Female",19,"Computer Science",89.4,3.6,3.17,4.3,7,3.28
"Female",24,"Computer Science",74.8,0.9,2.87,10,11,2.72
"Male",21,"Mathematics",84.8,2.1,3.48,6.4,4,3.57
"Male",18,"Computer Science",81.4,3.3,2.98,4,9,3.3
"Male",20,"Business",92.3,7.4,3.46,5.4,12,3.96
"Female",19,"Mathematics",67.3,4.3,2.6,7.9,11,2.76
"Female",19,"Economics",84.6,3,2.78,9,10,3.17
"Female",19,"Mathematics",90.9,1.5,3.57,7.2,5,3.86
"Male",21,"Mathematics",85.5,4.5,3.84,7.1,5,4
"Male",18,"Engineering",100,8.4,3.08,4.7,9,3.38
"Female",24,"Engineering",96.6,3.4,1.71,9.2,11,2.11
"Female",22,"Engineering",84.9,2.3,3,7.8,10,3.15
"Female",18,"Psychology",88.3,5.6,3.12,7.5,10,3.55
"Female",21,"Business",89.4,7.6,2.98,7,11,3.69
"Female",19,"Mathematics",91,3.6,3.27,7.8,6,3.47
"Male",20,"Mathematics",57.6,6,2.86,5.8,7,2.42
"Male",19,"Engineering",80.5,3.1,3.52,8.4,9,3.64
"Female",22,"Mathematics",62.7,6.2,2.52,8.2,3,2.44
"Female",23,"Economics",100,8.6,3.72,6.9,10,4
"Male",20,"Mathematics",84.1,6.7,3.88,6.6,3,4
"Male",19,"Computer Science",82.1,5.5,2.64,4,8,2.79
"Female",24,"Economics",98.5,10.2,2.64,4.4,5,3.36
"Male",20,"Economics",91.3,3.5,3.31,7.8,13,3.45
"Male",23,"Mathematics",68.1,5.5,2.51,8.4,15,2.44
"Male",18,"Psychology",83.9,3.5,2.85,8.6,7,2.97
"Female",21,"Engineering",80,5.5,3.65,5,5,3.78
"Female",19,"Business",58.8,6.1,3.47,10,10,3.09
"Male",22,"Business",74.6,7,4,8.5,7,4
"Female",18,"Computer Science",82.2,4.2,3.19,6.1,6,3.37
"Male",19,"Business",83.3,1.1,2.79,7.2,6,2.8
"Male",18,"Business",62.8,3.6,3.13,4.5,6,3.11
"Female",22,"Engineering",100,5.9,3.02,6.1,11,3.3
"Female",19,"Engineering",83.5,4.9,3.03,7.8,9,3.37
"Female",23,"Psychology",85.6,5.3,3.09,7.1,14,3.31
"Female",23,"Computer Science",91,6.3,2.63,9.6,14,2.94
"Female",22,"Business",73.2,1.9,3.24,4.8,9,3.01
"Male",20,"Psychology",91.8,6.5,2.4,6.8,4,2.92
"Male",22,"Computer Science",79.5,10.5,2.74,5.3,10,3.01
"Male",20,"Economics",71.6,3.3,3.04,9.3,8,3.03
"Male",19,"Business",93.6,7,1.97,7.4,9,2.64
"Female",20,"Business",100,4.3,3.48,7,10,3.96
"Male",19,"Engineering",95.9,5.2,2.07,6.8,9,2.65
"Female",19,"Mathematics",98.8,6.7,3.43,5.7,12,3.64
"Female",24,"Computer Science",77.2,4.9,2.45,8.8,4,2.64
"Female",21,"Business",61,3.1,2.9,7.3,16,2.53
"Male",19,"Computer Science",100,5,3.36,7.4,3,3.67
"Female",20,"Psychology",100,2.3,4,7.9,3,4
"Male",21,"Psychology",100,1.5,3.16,5.7,11,3.4
"Male",21,"Mathematics",80,0.8,2.11,10,3,2.38
"Female",19,"Business",67.7,8.9,3.58,9.4,10,3.8
"Male",22,"Engineering",69,5.4,2.98,6.9,8,2.96
"Male",22,"Business",59.7,6.1,3.13,6.5,7,2.87
"Female",23,"Computer Science",83.4,4.7,3.38,8,12,3.73
"Male",21,"Economics",100,1.2,1.99,8.7,5,2.05
"Female",19,"Psychology",82.9,8.6,3.1,9.6,7,3.48
"Female",24,"Computer Science",89.5,3.1,2.9,8,7,3.35
"Female",22,"Mathematics",100,0.8,3.71,7.2,12,3.81
"Male",24,"Psychology",78.9,3.5,3.46,7.2,8,3.52
"Male",19,"Engineering",100,8,2.29,4.2,17,2.43
"Female",19,"Psychology",100,2.3,3.73,6.4,9,4
"Male",21,"Economics",83,3.4,3.32,7.5,9,3.69
"Female",24,"Business",76.3,3.2,2.33,4,9,2.17
"Female",23,"Economics",95.5,2.2,3.13,7.3,7,3.45
"Female",21,"Economics",79.8,4.4,3.62,5.8,5,3.52
"Male",18,"Business",67.7,2.4,2.49,9.4,6,2.2
"Male",24,"Psychology",100,8.8,3.79,6.6,8,4
"Female",22,"Mathematics",100,1.4,2.34,6.6,11,2.7
"Male",22,"Business",87.3,1.8,2.7,6.8,7,3.1
"Male",22,"Business",66.1,3.4,2.63,7,14,2.67
"Female",20,"Engineering",66.6,4.1,3.79,8.2,10,3.82
"Female",19,"Psychology",86.6,2.7,2.85,6.5,9,3.18
"Female",21,"Business",77.5,6.3,2.52,7,9,2.81
"Female",22,"Mathematics",79.9,3.6,3.32,8.2,10,3.09
"Male",18,"Computer Science",100,5.6,3.43,7,6,3.82
"Female",22,"Psychology",96,8.5,3.43,8,9,3.91
"Female",23,"Engineering",100,10.1,2.96,6.3,10,3.42
"Male",19,"Economics",70.1,3.4,3.23,7.5,3,3.38
"Male",24,"Business",79.9,4.3,2.77,9,12,2.59
"Female",19,"Mathematics",96.4,4.9,3.94,7.9,8,4
"Female",24,"Psychology",91.7,3.5,3.67,4.2,9,4
"Female",24,"Mathematics",100,2.1,3.64,7.8,12,3.98
"Female",21,"Mathematics",91.3,7.3,3.5,5.3,12,3.94
"Male",20,"Economics",100,2.1,3.36,5.6,4,3.44
"Male",24,"Engineering",93.1,7.7,2.48,7.7,5,3.02
"Female",24,"Psychology",100,5.3,3.42,5.5,5,3.56
"Female",21,"Business",80.1,4.8,3.16,5.3,8,3.54
"Female",22,"Engineering",85.2,2.5,3.73,7,12,3.9
"Female",23,"Business",98.7,1,3.5,6.1,4,3.69
"Male",18,"Computer Science",100,7.2,3.38,4.6,7,3.63
"Male",21,"Mathematics",95.9,2.5,2.26,7.8,6,2.62
"Female",20,"Computer Science",83.8,5.5,3.06,8.5,9,3.54
"Female",21,"Mathematics",100,5.7,2.82,8.4,5,3.14
"Female",19,"Economics",52.1,4.1,3.23,5.7,11,2.72
"Female",22,"Engineering",63.7,4.8,2.89,7.6,6,3.16
"Female",22,"Business",95.2,5.3,2.96,6.3,11,3.35
"Male",24,"Economics",85.2,4.6,3.33,5.1,3,3.44
"Male",22,"Business",94.1,2.4,2.88,5.9,6,2.93
"Male",22,"Engineering",86,1.4,3.16,4,7,3.13
"Female",22,"Psychology",93.6,2.7,2.34,5.4,7,2.4
"Male",22,"Computer Science",72.8,3.2,2.68,4.8,9,2.45
"Male",18,"Computer Science",93.6,8.7,3.43,7.3,8,4
"Male",20,"Business",99.9,1.8,2.48,7.4,10,2.6
"Male",24,"Business",100,9.4,3.72,4.5,4,4
"Female",22,"Business",100,11.1,3.59,8.2,5,4
"Male",24,"Engineering",88.7,2.7,2.97,6.1,4,3.33
"Male",20,"Psychology",89.1,10.9,4,5.4,4,4
"Female",23,"Computer Science",62.2,3.7,3.72,4.3,7,3.84
"Male",22,"Economics",77,3.4,2.63,5.8,6,2.58
"Male",24,"Mathematics",82.1,8.7,3.47,6.8,7,4
"Male",21,"Engineering",100,4.7,3.13,8.5,8,3.37
"Female",24,"Computer Science",75.8,4.3,2.71,6.8,12,2.75
"Male",22,"Psychology",96.9,2.7,2.57,6.5,9,2.7
"Female",19,"Engineering",85,2.8,3.6,7.9,2,3.96
"Male",18,"Economics",82.3,4.3,2.8,7.2,6,3.07
"Male",21,"Computer Science",88.7,8.7,3.05,4.7,10,3.37
"Male",21,"Engineering",79.1,1.8,2.64,6.3,12,2.42
"Male",19,"Computer Science",78.6,3.9,2.73,6.1,4,2.86
"Female",22,"Computer Science",59.4,1.6,3.04,6.8,6,2.56
"Female",18,"Psychology",81.3,2.6,3.29,6.3,10,3.68
"Female",21,"Mathematics",77.8,6,1.81,5.8,9,2.02
"Male",18,"Psychology",77.3,2.3,3.11,9.2,5,2.91
"Male",21,"Computer Science",91.3,7.5,2.73,6.9,9,3.37
"Female",22,"Engineering",94.9,2.2,3.8,7.7,8,4
"Male",23,"Economics",88.5,2.9,4,6.8,10,4
"Male",21,"Psychology",99.9,1.1,2.92,8.2,3,2.95
"Male",23,"Mathematics",93.6,7.5,2.24,6.9,7,2.94
"Male",21,"Computer Science",80.6,6.9,3.16,8.5,7,3.75
"Female",20,"Economics",78.1,1.6,3,4,7,2.78
"Female",22,"Psychology",89.7,3.4,4,7.1,14,4
"Female",19,"Psychology",93.6,3.2,3.93,7.4,7,4
"Male",23,"Psychology",100,3,3.53,7.5,7,3.86
"Male",19,"Psychology",100,11.2,2.81,5.4,8,3.62
"Male",22,"Economics",76.9,3,3.44,5.9,5,3.46
"Male",24,"Engineering",83.5,2.3,3.23,5.4,7,3.53
"Male",19,"Mathematics",95.1,1.2,3.22,7.7,12,3.52
"Female",22,"Mathematics",100,2.4,2.32,8.4,4,2.43
"Female",19,"Computer Science",99.1,8.7,3.63,4.5,4,4
"Male",23,"Business",84,4.6,3.15,7.3,10,3.52
"Female",20,"Engineering",66.2,4.6,3.05,5.7,5,2.99
"Female",19,"Computer Science",70,2.5,2.8,9.6,5,2.55
"Female",23,"Computer Science",89.1,7.9,2.7,7.8,9,3.17
"Female",21,"Psychology",90.1,5.6,3.26,6.5,10,3.49
"Male",22,"Business",68.5,3.1,2.23,6.8,8,2.3
"Male",18,"Business",85.7,2.1,3.49,8.9,9,3.69
"Male",24,"Engineering",94.5,3.9,2.57,7.1,8,2.88
"Female",18,"Business",67.7,2.2,2.07,4.3,5,2.12
"Male",22,"Computer Science",100,3.6,4,9.3,6,4
"Male",20,"Business",79.3,4.4,2.67,8.2,18,2.24
"Male",19,"Business",100,2.6,2.74,6.2,9,2.97
"Male",20,"Mathematics",77,0.7,3.67,7.9,7,3.56
"Female",18,"Computer Science",69.6,5.2,4,6.1,6,4
"Female",24,"Economics",78.1,2.6,2.33,6,10,2.22
"Male",23,"Business",83.6,4.4,2.62,6.8,11,2.89
"Male",24,"Business",79.2,3.7,2.66,7.9,4,2.61
"Male",22,"Psychology",81.8,10.1,3.57,7.7,8,4
"Male",22,"Business",90,4.1,3.92,8.4,14,4
"Male",20,"Business",82.4,6.8,2.56,7.7,9,3
"Male",23,"Mathematics",84,3.2,3.81,9.2,6,4
"Male",20,"Computer Science",59.4,2.2,2.75,9.6,4,2.18
"Female",19,"Engineering",90.9,5.3,3.27,7.5,8,3.74
"Female",21,"Computer Science",83.7,2.5,2.46,6.5,6,2.8
"Male",23,"Psychology",100,6.2,3.04,6.7,8,3.33
"Male",21,"Computer Science",70.9,1.8,3.04,4.1,3,2.76
"Female",24,"Business",57.9,4.9,2.94,7,3,2.72
"Male",19,"Psychology",94.3,4,3.29,6.1,5,3.77
"Female",21,"Computer Science",90.2,9,2.6,5.9,10,3.19
"Female",18,"Psychology",69.9,5.2,2.66,6.9,5,2.92
"Male",24,"Engineering",62.1,3.7,3.32,4,6,3.4
"Male",21,"Computer Science",100,6.4,3.77,6.7,13,4
"Female",19,"Economics",100,0.7,3.09,7.3,4,3.32
"Male",21,"Business",47.7,5.6,3.35,4.7,8,3.25
"Female",22,"Psychology",78.1,5.9,3.48,9,11,3.62
"Female",20,"Economics",100,6.3,3.52,7.7,13,3.93
"Female",18,"Economics",77.9,6,2.62,8.9,12,2.61
"Male",22,"Mathematics",77.6,5.5,2.71,7.7,14,2.78
"Female",22,"Psychology",80.8,3.3,2.75,7.5,8,3.06
"Male",19,"Economics",68.2,4.4,4,9.3,6,3.91
"Male",20,"Mathematics",59.4,2.7,3.35,9,9,2.81
"Female",20,"Economics",100,2.4,3.33,9.9,8,3.54
"Male",23,"Business",57.4,3.3,3.28,6.8,9,3.14
"Female",24,"Engineering",88.7,3.6,2.44,5.8,3,2.67
"Female",18,"Mathematics",98.3,5.1,4,5.3,10,4
"Male",24,"Engineering",63.2,8.2,3.34,5.5,4,3.63
"Male",19,"Psychology",71.1,6.8,3.46,8,7,3.75
"Male",18,"Business",100,4.8,2.22,10,8,2.59
"Male",23,"Mathematics",93,7.7,3.49,9.3,2,3.99
"Male",21,"Psychology",75.7,4.1,2.92,6.7,5,3.09
"Female",22,"Economics",100,5.5,2.44,8.1,11,2.9
"Male",18,"Computer Science",100,3.3,2.62,6.2,7,3.09
"Male",24,"Psychology",89,4,2.47,6.3,6,2.86
"Female",22,"Engineering",71.5,3.5,2.46,5.4,5,2.34
"Male",19,"Business",78.8,1.3,3.13,5.5,7,2.78
"Female",24,"Business",89.3,1.3,2.91,7.8,10,3.21
"Male",21,"Psychology",82.2,1.6,3.27,9.2,14,3.26
"Male",19,"Economics",99.1,4.9,3.94,8.6,10,4
"Female",21,"Computer Science",62.1,8.3,3.04,9.2,9,3.17
"Female",21,"Engineering",62.6,7.7,1.98,8.2,8,2.27
"Female",22,"Psychology",87.7,1.3,2.98,6.9,8,3.2
"Female",19,"Psychology",77.6,5.6,3.7,6.2,10,3.81
"Female",19,"Business",75.6,2.9,3.06,7.9,8,3
"Male",18,"Engineering",58.5,2.3,3.86,4.5,6,3.25
"Male",24,"Computer Science",85.3,4.4,3.33,6.1,11,3.5
"Female",19,"Business",84.2,2.9,2.18,5.8,14,2.38
"Female",18,"Psychology",94.8,1.5,3.15,8.9,8,3.44
"Female",20,"Business",86,2.1,3.25,4.9,10,3.44
"Male",20,"Business",83,3.3,3.64,8.4,10,4
"Male",20,"Mathematics",100,8.2,4,7.6,10,4
"Female",23,"Business",65.3,1.2,3.55,7.6,13,3.33
"Male",19,"Economics",93,1.8,3.32,6.3,9,3.62
"Female",23,"Business",59.9,3.4,3.44,4.8,10,3.03
"Female",24,"Economics",72.4,2.5,3.02,7.8,9,2.88
"Male",19,"Engineering",66.8,5.2,2.37,8.3,4,2.28
"Female",18,"Business",96.7,3.5,3.12,7.7,8,3.34
"Female",23,"Computer Science",84,1.5,3.28,6.8,4,3.6
"Male",23,"Economics",84.8,2.9,2.5,5.3,10,2.64
"Female",24,"Economics",68.4,4.5,3.76,6.1,5,3.74
"Male",23,"Psychology",80.5,5.9,3.6,7.7,4,4
"Female",21,"Engineering",73.5,1.8,2.41,5.8,10,2.06
"Male",18,"Business",90.8,4.6,3.78,5.6,12,4
"Female",20,"Computer Science",70.1,3.3,2.95,4.8,6,3.05
"Male",18,"Psychology",100,7.6,2.71,7.8,8,3.29
"Male",21,"Engineering",59.9,2.9,3.64,7.8,6,3.35
"Female",24,"Economics",72.9,1.5,3.07,8.7,12,2.72
"Male",24,"Computer Science",100,2.6,4,4,4,4
"Male",19,"Business",78.5,0.9,2.67,8.8,12,2.41
"Female",18,"Mathematics",65.3,1,2.23,8.7,4,2.14
"Female",24,"Mathematics",88.3,1.2,2.96,8.8,13,3.19
"Female",23,"Engineering",77.9,5.2,3.49,7.2,4,3.47
"Female",24,"Computer Science",72.5,4.9,2.64,7.3,12,2.74
"Male",24,"Psychology",68.6,5.4,2.43,7.3,3,2.69
"Male",24,"Computer Science",100,2.7,3.21,5.6,8,3.44
"Male",24,"Economics",81.2,2.1,2.37,5.7,10,2.52
"Female",20,"Mathematics",56.1,12.2,3.25,7.3,10,3.57
"Female",20,"Engineering",100,4.3,2.93,6.6,11,3.48
"Female",19,"Business",94.2,2,3.35,8.1,6,3.39
"Female",24,"Computer Science",73.5,8.8,2.41,6.5,7,2.57
"Male",18,"Mathematics",71,8.1,3.75,4.8,8,4
"Male",21,"Psychology",95.1,5.7,3.01,4.9,6,3.24
"Male",19,"Engineering",81.3,3.6,3.48,5.9,6,3.85
"Male",18,"Business",56.1,2.3,3.58,8.1,11,3.07
